timestamp;test-class;test-method;time;description;result
2021-06-03 19:35:38.216;acme.testing.administrator.dashboard.AdministratorShowDashBoardTest;positiveDashBoardShow;6895;[1] nPrivateTasks=4, nPublicTask=12, nFinishedTasks=6, nCurrentTasks=10, tasks=45.5 dd, 67.72 dd, 0 dd, 199 dd. (Measured in days), workloads=9 hrs. y 8 min, 15 hrs. y 51 min, 0 hrs. y 1 min, 60 hrs. y 3 min.;OK
;;Promedio positiveDashBoardShow;6895;;
2021-06-03 19:29:21.135;acme.testing.administrator.spam.AdministratorSpamCreateTest;createNegative;5815;[1] recordIndex=0, word=nigeria;OK
2021-06-03 19:29:27.782;acme.testing.administrator.spam.AdministratorSpamCreateTest;createNegative;6297;[2] recordIndex=1, word=estetextodeberiasuperarloscincuentacaracteresparaquesalteunerrorenelformulario;OK
2021-06-03 19:29:33.535;acme.testing.administrator.spam.AdministratorSpamCreateTest;createNegative;5435;[3] recordIndex=2, word=null;OK
;;Promedio createNegative;5849;;
2021-06-03 19:28:49.687;acme.testing.administrator.spam.AdministratorSpamCreateTest;createPositive;7548;[1] recordIndex=10, word=fuck;OK
2021-06-03 19:28:57.701;acme.testing.administrator.spam.AdministratorSpamCreateTest;createPositive;7739;[2] recordIndex=11, word=shit;OK
2021-06-03 19:29:06.265;acme.testing.administrator.spam.AdministratorSpamCreateTest;createPositive;8249;[3] recordIndex=12, word=send money to;OK
2021-06-03 19:29:14.994;acme.testing.administrator.spam.AdministratorSpamCreateTest;createPositive;8371;[4] recordIndex=13, word=free download;OK
;;Promedio createPositive;7976,75;;
2021-06-03 19:28:05.634;acme.testing.administrator.spam.AdministratorSpamDeleteTest;deletePositive;8305;[1] recordIndex=0, word=sex, wordnext=hard core;OK
2021-06-03 19:28:14.934;acme.testing.administrator.spam.AdministratorSpamDeleteTest;deletePositive;8982;[2] recordIndex=0, word=hard core, wordnext=viagra;OK
2021-06-03 19:28:23.267;acme.testing.administrator.spam.AdministratorSpamDeleteTest;deletePositive;8040;[3] recordIndex=0, word=viagra, wordnext=cialis;OK
2021-06-03 19:28:31.622;acme.testing.administrator.spam.AdministratorSpamDeleteTest;deletePositive;8056;[4] recordIndex=0, word=cialis, wordnext=nigeria;OK
;;Promedio deletePositive;8345,75;;
2021-06-03 19:29:50.654;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;5777;[1] recordIndex=0, word=sex;OK
2021-06-03 19:29:57.179;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;6232;[2] recordIndex=1, word=hard core;OK
2021-06-03 19:30:03.548;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;6059;[3] recordIndex=2, word=viagra;OK
2021-06-03 19:30:10.061;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;6207;[4] recordIndex=3, word=cialis;OK
2021-06-03 19:30:17.721;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;7316;[5] recordIndex=4, word=nigeria;OK
2021-06-03 19:30:25.722;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;7620;[6] recordIndex=5, word=you've won;OK
2021-06-03 19:30:32.835;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;6693;[7] recordIndex=6, word=million dollar;OK
2021-06-03 19:30:39.973;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;6752;[8] recordIndex=7, word=sexo;OK
2021-06-03 19:30:48.802;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;8271;[9] recordIndex=8, word=has ganado;OK
2021-06-03 19:30:57.406;acme.testing.administrator.spam.AdministratorSpamListTest;listAll;8173;[10] recordIndex=9, word=millon de euros;OK
;;Promedio listAll;6910;;
2021-06-03 19:25:11.919;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updateNegative;6504;[1] recordIndex=0, word=nigeria;OK
2021-06-03 19:25:18.358;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updateNegative;6161;[2] recordIndex=1, word=estetextodeberiasuperarloscincuentacaracteresparaquesalteunerrorenelformulario;OK
2021-06-03 19:25:24.715;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updateNegative;6110;[3] recordIndex=2, word=null;OK
;;Promedio updateNegative;6258,333333;;
2021-06-03 19:25:32.824;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updatePositive;7829;[1] recordIndex=0, word=sexual;OK
2021-06-03 19:25:40.446;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updatePositive;7353;[2] recordIndex=1, word=hardcore;OK
2021-06-03 19:25:48.481;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updatePositive;7745;[3] recordIndex=2, word=viagra pills;OK
2021-06-03 19:25:57.796;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updatePositive;8974;[4] recordIndex=3, word=cialis pills;OK
2021-06-03 19:26:05.706;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updatePositive;7555;[5] recordIndex=4, word=nigerian prince;OK
2021-06-03 19:26:14.276;acme.testing.administrator.spam.AdministratorSpamUpdateTest;updatePositive;8202;[6] recordIndex=5, word=you have won;OK
;;Promedio updatePositive;7943;;
2021-06-03 19:27:45.761;acme.testing.administrator.spam.AdministratorThresholdListTest;listAll;5693;[1] recordIndex=0, threshold=10.00;OK
;;Promedio listAll;5693;;
2021-06-03 19:26:31.875;acme.testing.administrator.spam.AdministratorThresholdUpdateTest;updateNegative;6666;[1] recordIndex=0, threshold=prueba;OK
2021-06-03 19:26:38.377;acme.testing.administrator.spam.AdministratorThresholdUpdateTest;updateNegative;6204;[2] recordIndex=0, threshold=-5.1;OK
